# SaaS Metrics Dashboard Template — Queldrex
# queldrex.com/downloads
# Instructions: Replace example values in the DATA rows with your actual numbers.
# Rows starting with # are comments — delete them before importing to Excel/Sheets.
# Benchmark column shows healthy ranges for B2B SaaS at $1M-$10M ARR stage.

# === MONTHLY SNAPSHOT ===
Metric,Your Value,Benchmark,Status,Notes
MRR (Monthly Recurring Revenue),$25000,"$10k-$100k (varies by stage)","",Sum of all active subscription revenue this month
ARR (Annual Run Rate),$300000,"12x MRR","","=MRR * 12"
New MRR (new customers this month),$4500,"15-25% of MRR","",Revenue from new subscriptions only
Expansion MRR (upgrades/upsells),$1200,"10-30% of new MRR","",Revenue from existing customers upgrading
Churned MRR (cancellations),$800,"<2% of MRR","",Revenue lost from cancellations
Contraction MRR (downgrades),$200,"<1% of MRR","",Revenue lost from downgrades
Net New MRR,$4700,"Positive","","=New MRR + Expansion MRR - Churned MRR - Contraction MRR"

# === GROWTH ===
Metric,Your Value,Benchmark,Status,Notes
MoM Growth Rate,6.2%,">5% is good, >10% is strong","","=(This Month MRR - Last Month MRR) / Last Month MRR * 100"
YoY Growth Rate,74%,">50% early stage","",Compare to same month last year
Total Active Customers,300,"Varies","",Count of paying customers on active subscriptions
New Customers This Month,18,"Varies","",
Churned Customers This Month,3,"<2% of total","",
Net Customer Growth,15,"Positive","","=New - Churned"

# === RETENTION & CHURN ===
Metric,Your Value,Benchmark,Status,Notes
Monthly Churn Rate (Revenue),3.2%,"<2% great, <5% acceptable, >8% danger","","=Churned MRR / MRR at start of month * 100"
Annual Churn Rate,33%,"<10% great, <25% acceptable","","=1 - (1 - Monthly Churn Rate/100)^12 * 100"
Net Revenue Retention (NRR),105%,">100% = growth from existing customers","","=(MRR - Churned MRR - Contraction MRR + Expansion MRR) / MRR * 100"
Logo Churn Rate (customers),1.0%,"<2%","","=Churned Customers / Total Customers * 100"

# === UNIT ECONOMICS ===
Metric,Your Value,Benchmark,Status,Notes
ARPU (Avg Revenue Per User),$83.33,"Varies by segment","","=MRR / Total Active Customers"
Customer Acquisition Cost (CAC),$320,"Varies by channel","",Total sales+marketing spend / new customers acquired
LTV (Customer Lifetime Value),$2604,"LTV:CAC > 3:1","","=ARPU / (Monthly Churn Rate/100)"
LTV:CAC Ratio,8.1x,">3x good, >5x excellent","","=LTV / CAC"
CAC Payback Period (months),4.6,"<12 months good, <6 excellent","","=CAC / (ARPU * Gross Margin%)"
Gross Margin,75%,">70% for SaaS","",

# === EFFICIENCY ===
Metric,Your Value,Benchmark,Status,Notes
Quick Ratio,3.4,">4 = excellent, 1-4 = healthy, <1 = leaking","","=(New MRR + Expansion MRR) / (Churned MRR + Contraction MRR)"
Magic Number,0.8,">0.75 = good, >1 = strong sales efficiency","","=Net New ARR / Prior Quarter Sales+Marketing Spend"
Burn Multiple,1.2,"<1 = excellent, 1-1.5 = good, >2 = investigate","","=Net Burn / Net New ARR"

# === COHORT TRACKING (copy this block for each month) ===
Cohort Month,Starting MRR,Month 1,Month 2,Month 3,Month 6,Month 12,Notes
Jan 2026,$3200,$3200,$3050,$2900,$2400,$1800,Track revenue retained from each cohort
Feb 2026,$4100,$4100,$3900,$3750,,,,

# === BENCHMARKS REFERENCE ===
# Source: OpenView SaaS Benchmarks, Bessemer Cloud Index, SaaStr data
# Stage: $1M-$10M ARR, B2B SaaS

Metric,Excellent,Good,Acceptable,Warning
Monthly Revenue Churn,"<1%","1-2%","2-5%",">5%"
Net Revenue Retention,">120%","100-120%","90-100%","<90%"
LTV:CAC Ratio,">5x","3-5x","1-3x","<1x"
CAC Payback Period,"<6 months","6-12 months","12-18 months",">18 months"
Quick Ratio,">4",">2","1-2","<1"
Gross Margin,">80%","70-80%","60-70%","<60%"
MoM Growth,">15%","10-15%","5-10%","<5%"

# ================================================
# Generated by Queldrex SaaS Metrics Dashboard Template
# Buy the full suite at queldrex.com/downloads
# ================================================
